0,0,0,0,0,XXXX-XX-XX-to-XXXX-XX-XX
1,166561,55482,0,0,2019-03-22
2,227881,60758,189382,46642,2019-03-23
3,251141,52014,208135,37254,2019-03-24
4,329400,47882,280478,32206,2019-03-25
5,314438,39969,261238,25035,2019-03-26
6,303614,37772,253385,24182,2019-03-27
7,350415,34096,299661,20869,2019-03-28
8,300764,32961,253238,20112,2019-03-29
9,271002,33708,227360,21266,2019-03-30
10,324107,33028,281392,20878,2019-03-31
11,341902,30887,298183,19179,2019-04-01
12,313701,29149,270953,17612,2019-04-02
13,320152,27732,279171,16655,2019-04-03
14,328896,26271,289155,15624,2019-04-04
