0,0,0,0,0,XXXX-XX-XX-to-XXXX-XX-XX
1,343923,87951,0,0,2018-02-12
2,254714,96763,177838,75567,2018-02-13
3,161901,69177,92074,43187,2018-02-14
4,129972,57899,71747,34197,2018-02-15
5,113082,50859,59913,29141,2018-02-16
6,105458,47497,56315,27135,2018-02-17
7,98302,45676,51311,26276,2018-02-18
8,89777,41808,45648,23497,2018-02-19
9,80506,38186,38673,20638,2018-02-20
10,74076,35859,34117,18831,2018-02-21
11,71211,36247,33320,19107,2018-02-22
12,68504,34864,31168,17856,2018-02-23
13,67493,34930,31508,18019,2018-02-24
14,66639,33459,31194,17193,2018-02-25
15,64248,31779,29524,16426,2018-02-26
16,60054,29647,26099,14812,2018-02-27
17,56277,28522,24002,14123,2018-02-28
18,55153,28621,24452,14478,2018-03-01
19,55211,27630,25285,13758,2018-03-02
20,55096,27146,25214,14053,2018-03-03
21,54592,26878,24864,13868,2018-03-04
