00001,334,2084548,910438
00002,345,3351884,1477711
00003,345,4223892,1841120
00004,345,4979908,2134602
00005,347,5629131,2374134
00006,347,6192857,2598037
00007,347,6737082,2811822
00008,347,7308563,3015173
00009,347,7831792,3188659
00010,347,8299041,3334465
00011,347,8694820,3448607
00012,347,9050167,3542280
00013,347,9327535,3608614
00014,347,9646811,3680245
00015,347,9973550,3751829
00016,347,10276830,3812292
00017,347,10569932,3870968
00018,347,10847861,3927764
00019,347,11137694,3983699
00020,347,11431782,4036321
00021,347,11713925,4080222
00022,347,12010533,4129103
00023,347,12298406,4174126
00024,347,12583216,4220004
00025,347,12876532,4269278
00026,347,13172413,4317482

