00001,208,1295574,493407
00002,221,2033160,750094
00003,223,2550776,928754
00004,229,3005138,1076587
00005,229,3423547,1203216
00006,229,3821627,1321025
00007,229,4233168,1431893
00008,229,4616886,1537508
00009,229,4935503,1618300
00010,229,5210673,1677288
00011,229,5480284,1725360
00012,229,5729882,1766555
00013,229,5975019,1801641
00014,229,6215809,1830062
00015,229,6450903,1855825
00016,229,6702084,1880781
00017,229,6938773,1903656
00018,229,7169964,1926458
00019,229,7407760,1947115
00020,229,7645248,1967020
00021,229,7863396,1985433
00022,229,8094786,2003969
00023,229,8328842,2020800
00024,229,8549923,2036976
00025,229,8767456,2052848
00026,229,8986039,2070990

