00001,265,1856848,837537
00002,288,2729180,1168929
00003,299,3538007,1394787
00004,301,4204017,1559574
00005,306,4988039,1741666
00006,306,5768577,1903367
00007,310,6324401,2015151
00008,312,6937145,2108781
00009,312,7499996,2184751
00010,312,8345133,2242636
00011,312,9313329,2290201
00012,312,10242160,2332281
00013,312,11260892,2367116
00014,312,12193594,2397993
00015,312,13069996,2427417
00016,312,13934621,2453345
00017,312,14867178,2479419
00018,312,15735369,2503848
00019,312,16674612,2526606
00020,312,17707099,2548832
00021,312,18708079,2571303
00022,312,19598382,2593506
00023,312,20452790,2611111
00024,312,21380072,2628228
00025,312,22326781,2644558
00026,312,23122335,2657613

