0,0,0,0,0,XXXX-XX-XX-to-XXXX-XX-XX
1,42,31,0,0,2018-09-08-at-17
2,39,30,1,2,2018-09-08-at-18
3,39,31,2,2,2018-09-08-at-19
4,1012,120,974,89,2018-09-08-at-20
5,1229,123,1058,31,2018-09-08-at-21
6,901,129,733,41,2018-09-08-at-22
7,1135,110,964,36,2018-09-08-at-23
8,1460,106,1284,26,2018-09-09-at-00
9,1532,109,1355,28,2018-09-09-at-01
10,1690,104,1528,23,2018-09-09-at-02
11,1970,108,1812,29,2018-09-09-at-03
12,1759,105,1574,28,2018-09-09-at-04
13,1582,123,1382,48,2018-09-09-at-05
14,1297,124,1089,39,2018-09-09-at-06
15,1538,109,1336,28,2018-09-09-at-07
16,1216,115,1033,35,2018-09-09-at-08
17,957,118,779,33,2018-09-09-at-09
18,1202,120,1013,36,2018-09-09-at-10
19,1000,122,806,39,2018-09-09-at-11
20,1493,105,1295,25,2018-09-09-at-12
21,1382,111,1186,36,2018-09-09-at-13
22,1064,99,884,28,2018-09-09-at-14
23,1567,116,1371,39,2018-09-09-at-15
24,1135,103,933,30,2018-09-09-at-16
25,991,104,797,30,2018-09-09-at-17
26,807,92,621,30,2018-09-09-at-18
27,756,105,576,39,2018-09-09-at-19
28,919,105,737,39,2018-09-09-at-20
29,970,96,792,32,2018-09-09-at-21
30,495,87,329,26,2018-09-09-at-22
31,569,80,403,25,2018-09-09-at-23
32,610,79,456,20,2018-09-10-at-00
33,1608,85,1451,27,2018-09-10-at-01
34,1990,95,1806,32,2018-09-10-at-02
35,1744,99,1569,34,2018-09-10-at-03
36,1421,100,1220,30,2018-09-10-at-04
37,1124,98,943,32,2018-09-10-at-05
38,1192,88,1014,21,2018-09-10-at-06
39,717,88,544,21,2018-09-10-at-07
40,705,100,543,37,2018-09-10-at-08
41,792,85,633,23,2018-09-10-at-09
42,866,89,701,29,2018-09-10-at-10
43,969,86,801,18,2018-09-10-at-11
44,1555,87,1393,17,2018-09-10-at-12
45,1204,80,1044,13,2018-09-10-at-13
46,1123,89,979,31,2018-09-10-at-14
47,632,83,487,20,2018-09-10-at-15
48,560,98,425,32,2018-09-10-at-16
49,829,149,670,74,2018-09-10-at-17
50,1897,201,1621,84,2018-09-10-at-18
51,3016,179,2751,43,2018-09-10-at-19
52,2255,167,1978,54,2018-09-10-at-20
53,2114,171,1841,62,2018-09-10-at-21
54,2097,172,1825,59,2018-09-10-at-22
55,1867,146,1613,46,2018-09-10-at-23
56,1791,135,1539,38,2018-09-11-at-00
57,2001,134,1736,36,2018-09-11-at-01
58,1967,144,1676,41,2018-09-11-at-02
59,1935,122,1672,28,2018-09-11-at-03
60,2177,116,1922,31,2018-09-11-at-04
61,2162,123,1936,39,2018-09-11-at-05
62,1861,116,1637,37,2018-09-11-at-06
63,2659,119,2431,33,2018-09-11-at-07
64,2898,114,2683,28,2018-09-11-at-08
65,1654,104,1445,25,2018-09-11-at-09
66,1825,115,1613,38,2018-09-11-at-10
67,1151,115,932,32,2018-09-11-at-11
68,1265,100,1070,21,2018-09-11-at-12
69,1663,96,1474,20,2018-09-11-at-13
70,1671,91,1482,19,2018-09-11-at-14
71,1409,109,1218,40,2018-09-11-at-15
72,1650,118,1459,40,2018-09-11-at-16
73,2753,125,2539,39,2018-09-11-at-17
74,2608,117,2379,29,2018-09-11-at-18
75,2293,117,2078,35,2018-09-11-at-19
76,2242,114,2017,36,2018-09-11-at-20
77,3329,110,3098,42,2018-09-11-at-21
78,3629,108,3401,36,2018-09-11-at-22
79,3779,131,3535,60,2018-09-11-at-23
80,3602,105,3355,29,2018-09-12-at-00
81,3861,96,3584,23,2018-09-12-at-01
82,3764,107,3524,37,2018-09-12-at-02
83,4564,116,4307,51,2018-09-12-at-03
84,4033,113,3776,52,2018-09-12-at-04
85,3246,106,3010,39,2018-09-12-at-05
86,3474,93,3224,26,2018-09-12-at-06
87,2890,91,2668,30,2018-09-12-at-07
88,3337,114,3127,55,2018-09-12-at-08
89,3276,112,3066,47,2018-09-12-at-09
90,3185,104,2982,34,2018-09-12-at-10
91,3194,120,3014,48,2018-09-12-at-11
92,2915,98,2736,19,2018-09-12-at-12
93,2535,100,2339,35,2018-09-12-at-13
94,2764,95,2572,28,2018-09-12-at-14
95,2609,109,2427,45,2018-09-12-at-15
96,2156,106,1972,33,2018-09-12-at-16
97,2484,115,2285,46,2018-09-12-at-17
98,3583,99,3383,34,2018-09-12-at-18
99,3863,104,3655,36,2018-09-12-at-19
100,3435,106,3242,44,2018-09-12-at-20
101,3258,99,3067,41,2018-09-12-at-21
102,3122,116,2939,43,2018-09-12-at-22
103,3259,88,3041,22,2018-09-12-at-23
104,3082,86,2880,30,2018-09-13-at-00
105,3423,93,3217,26,2018-09-13-at-01
106,4262,79,4056,18,2018-09-13-at-02
107,4231,89,4036,35,2018-09-13-at-03
108,3791,78,3608,23,2018-09-13-at-04
109,3618,80,3426,21,2018-09-13-at-05
110,3095,95,2912,39,2018-09-13-at-06
111,2774,85,2575,22,2018-09-13-at-07
112,3261,110,3087,55,2018-09-13-at-08
113,3090,99,2902,40,2018-09-13-at-09
114,3135,96,2961,28,2018-09-13-at-10
115,2493,84,2307,19,2018-09-13-at-11
116,3017,86,2845,23,2018-09-13-at-12
117,2919,87,2761,29,2018-09-13-at-13
118,2124,74,1941,17,2018-09-13-at-14
119,1919,98,1745,43,2018-09-13-at-15
120,2020,99,1847,42,2018-09-13-at-16
121,3403,87,3225,27,2018-09-13-at-17
122,3894,101,3729,42,2018-09-13-at-18
123,6014,146,5848,79,2018-09-13-at-19
124,5106,146,4846,65,2018-09-13-at-20
125,5640,165,5353,81,2018-09-13-at-21
126,6877,138,6592,52,2018-09-13-at-22
127,6711,120,6433,57,2018-09-13-at-23
128,5910,104,5648,37,2018-09-14-at-00
129,326,90,101,18,2018-09-14-at-01
130,327,91,84,30,2018-09-14-at-02
131,341,97,101,40,2018-09-14-at-03
132,311,109,76,40,2018-09-14-at-04
133,329,101,85,27,2018-09-14-at-05
134,322,96,88,37,2018-09-14-at-06
135,324,105,94,27,2018-09-14-at-07
136,309,101,94,34,2018-09-14-at-08
137,288,89,79,30,2018-09-14-at-09
138,275,105,86,41,2018-09-14-at-10
139,286,94,81,29,2018-09-14-at-11
140,308,118,100,45,2018-09-14-at-12
141,321,107,109,27,2018-09-14-at-13
142,353,107,145,29,2018-09-14-at-14
143,355,107,149,35,2018-09-14-at-15
144,310,111,86,29,2018-09-14-at-16
145,306,109,86,33,2018-09-14-at-17
146,321,112,110,33,2018-09-14-at-18
147,364,109,144,34,2018-09-14-at-19
148,283,111,67,36,2018-09-14-at-20
149,287,111,70,27,2018-09-14-at-21
150,324,130,104,38,2018-09-14-at-22
151,315,108,70,22,2018-09-14-at-23
152,296,109,69,28,2018-09-15-at-00
153,351,113,133,33,2018-09-15-at-01
154,353,108,119,35,2018-09-15-at-02
155,336,109,92,37,2018-09-15-at-03
156,321,111,92,35,2018-09-15-at-04
157,332,107,111,34,2018-09-15-at-05
158,350,117,128,51,2018-09-15-at-06
159,306,98,88,36,2018-09-15-at-07
160,300,106,117,47,2018-09-15-at-08
161,306,102,108,30,2018-09-15-at-09
162,302,101,91,29,2018-09-15-at-10
163,351,91,129,31,2018-09-15-at-11
164,370,117,141,52,2018-09-15-at-12
165,338,108,96,30,2018-09-15-at-13
166,330,103,105,20,2018-09-15-at-14
167,363,95,146,29,2018-09-15-at-15
168,302,95,93,31,2018-09-15-at-16
169,289,107,95,47,2018-09-15-at-17
170,302,113,115,45,2018-09-15-at-18
171,330,126,125,49,2018-09-15-at-19
172,358,123,129,39,2018-09-15-at-20
173,344,122,121,40,2018-09-15-at-21
174,346,103,104,32,2018-09-15-at-22
175,382,106,139,37,2018-09-15-at-23
176,342,96,99,35,2018-09-16-at-00
177,329,86,87,24,2018-09-16-at-01
178,317,102,87,39,2018-09-16-at-02
179,331,102,98,39,2018-09-16-at-03
